基金代码,基金简称,期间涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
014855,嘉实中证半导体指数增强发起式C,JSZZBDTZSZQFQSC,21.95,,0,2022-04-22,1,1,2022-11-08,1.2195,1.2195,2022-04-22,1,0.00%,,,,
015665,银河和美生活混合C,YHHMSHHHC,21.887248,,0,2022-05-16,1.6585,1.6585,2022-11-08,2.0215,2.0215,2022-05-16,1,0.00%,,,,
014413,招商核心竞争力混合C,ZSHXJZLHHC,21.75,,0,2022-04-13,1,1,2022-11-08,1.2175,1.2175,2022-04-13,1,0.00%,,,,
014736,创金合信专精特新股票发起A,CJHXZJTXGPFQA,21.74,,0,2022-01-26,1,1,2022-11-08,1.2174,1.2174,2022-01-26,1,0.15%,1,0.15%,1,1.50%
014834,汇添富盈鑫混合D,HTFYXHHD,21.689373,,0,2022-01-17,1.8350,1.8350,2022-11-08,2.233,2.233,2022-01-17,,0.00%,,,,
010761,华商甄选回报混合A,HSZXHBHHA,21.6760,,0,2021-11-09,1.0537,1.0537,2022-11-08,1.2821,1.2821,2021-01-19,1,0.15%,1,0.15%,1,1.50%
014833,汇添富盈鑫混合C,HTFYXHHC,21.416894,,0,2022-01-17,1.8350,1.8350,2022-11-08,2.228,2.228,2022-01-17,1,0.00%,,,,
011269,中银证券优势制造股票A,ZYZQYSZZGPA,21.3353,,0,2021-11-09,0.8957,0.8957,2022-11-08,1.0868,1.0868,2021-07-08,1,0.15%,1,0.15%,1,1.50%
014737,创金合信专精特新股票发起C,CJHXZJTXGPFQC,21.26,,0,2022-01-26,1,1,2022-11-08,1.2126,1.2126,2022-01-26,1,0.00%,,,,
015594,国泰区位优势混合C,GTQWYSHHC,21.055283,,0,2022-05-16,3.5725,3.5725,2022-11-08,4.3247,4.3247,2022-05-16,1,0.00%,,,,
